name	electrode_name	type	units	sampling_frequency
Conx 1	e000	n/a	V	-1.0
Conx 2	e001	n/a	V	-1.0
Conx 3	e002	n/a	V	-1.0
Conx 4	e003	n/a	V	-1.0
Conx 5	e004	n/a	V	-1.0
Conx 6	e005	n/a	V	-1.0
Conx 7	e006	n/a	V	-1.0
Conx 8	e007	n/a	V	-1.0
Conx 9	e008	n/a	V	-1.0
Conx 11	e009	n/a	V	-1.0
Conx 12	e010	n/a	V	-1.0
Conx 13	e011	n/a	V	-1.0
Conx 15	e012	n/a	V	-1.0
Conx 18	e013	n/a	V	-1.0
Conx 19	e014	n/a	V	-1.0
Conx 20	e015	n/a	V	-1.0
Conx 22	e016	n/a	V	-1.0
Conx 23	e017	n/a	V	-1.0
Conx 26	e018	n/a	V	-1.0
Conx 28	e019	n/a	V	-1.0
Conx 29	e020	n/a	V	-1.0
