onset	duration	nwb_table	error_onset_time	reward_start_time	reward_stop_time	movement_start_time	movement_stop_time	return_start_time	return_stop_time	cue_onset_time	target
7.122411489486694	3.6510515213012695	trials		9.67323637008667	9.961308240890503	8.437514305114746	9.664020538330078	10.400727033615112	10.773463010787964	9.29710078239441	Right
13.747814416885376	2.8559770584106445	trials		15.191162824630737	15.474974632263184	14.998077392578125	15.16957688331604	16.154255390167236	16.60379147529602	14.813225030899048	Left
20.027514934539795	3.3764147758483887	trials		21.60791540145874	21.914214372634888	21.423636436462402	21.58710789680481	22.462873697280884	23.403929710388184	21.24967932701111	Left
26.169548749923706	3.819643020629883	trials		28.515573740005493	28.7988121509552	28.185559034347534	28.49243140220642	29.52765440940857	29.98919177055359	28.156190633773804	Right
33.4964325428009	1.6387276649475098	trials	35.124592542648315			34.30318069458008			35.130245208740234		Left
39.575469970703125	2.2429697513580322	trials	40.92952585220337			40.67012596130371	40.9266996383667	41.12490487098694	41.81843972206116		Right
45.654138803482056	3.9290060997009277	trials		48.01515531539917	48.31891465187073	47.8476288318634	48.00487422943115	48.91336703300476	49.58314490318298	47.63856887817383	Left
52.169031620025635	3.9223296642303467	trials		54.39311861991882	54.73480701446533	54.16353797912598	54.371450901031494	55.334051847457886	56.09136128425598	53.96692991256714	Right
58.07452154159546	3.988766670227051	trials		60.310569047927856	60.665364503860474	60.075294733047485	60.2937753200531	61.20370173454285	62.06328821182251	59.8734028339386	Right
64.85651445388794	3.2912180423736572	trials		66.35905027389526	66.63499784469604	66.15375876426697	66.34237957000732	67.3734245300293	68.1477324962616	65.96603894233704	Left
70.91806197166443	3.762913465499878	trials		73.0443365573883	73.33986306190491	72.87316489219666	73.03151607513428	73.89544439315796	74.6809754371643	72.70027256011963	Left
78.20038151741028	3.5684351921081543	trials		79.93614339828491	80.2772581577301	79.73048329353333	79.92713212966919	80.96804857254028	81.76881670951843	79.51355910301208	Right
85.02689790725708	3.594280958175659	trials		87.39123201370239	87.66480374336243	87.19544315338135	87.37288188934326	88.14362621307373	88.62117886543274	86.99785208702087	Left
92.04248571395874	3.72326397895813	trials		93.91919112205505	94.21451258659363	93.70456075668335	93.90235638618469	95.01667332649231	95.76574969291687	93.49672961235046	Right
98.70016503334045	3.3516340255737305	trials		100.56138753890991	100.8627712726593	100.35867643356323	100.53963780403137	101.4756965637207	102.05179905891418	100.15293431282043	Left
104.54257655143738	3.0352590084075928	trials		106.04396533966064	106.38802933692932	105.81065726280212	106.02455043792725	106.93242883682251	107.57783555984497	105.57702136039734	Right
109.65164041519165	3.84651255607605	trials		111.46592259407043	111.7307288646698	111.26988792419434	111.44564747810364	112.85266423225403	113.4981529712677	111.05992698669434	Left
115.38690042495728	3.55999755859375	trials		117.04483842849731	117.31750917434692	116.84716534614563	117.03218173980713	118.30775809288025	118.94689798355103	116.60668921470642	Right
120.59029507637024	3.7439076900482178	trials		122.76441097259521	123.08017158508301	122.56821250915527	122.74032640457153	123.63534331321716	124.33420276641846	122.35681796073914	Left
126.82440710067749	4.087316513061523	trials		129.23117566108704	129.57114362716675	129.01081085205078	129.20954871177673	130.33185291290283	130.911723613739	128.8094515800476	Right
132.63552522659302	3.912785768508911	trials		134.8248372077942	135.13744378089905	134.62540292739868	134.80464386940002	135.97528052330017	136.54831099510193	134.41953802108765	Left
139.6989951133728	3.487907886505127	trials		141.5922074317932	141.93618941307068	141.36209416389465	141.576110124588	142.40948224067688	143.18690299987793	141.15213322639465	Right
145.35331845283508	3.944939374923706	trials		147.5275981426239	147.8794445991516	147.32746744155884	147.51297545433044	148.62467074394226	149.2982578277588	147.0758502483368	Right
152.82315254211426	3.4096333980560303	trials		154.74728965759277	155.09606409072876	154.5357313156128	154.7325849533081	155.5546522140503	156.2327859401703	154.32470536231995	Left
158.97784328460693	3.8162841796875	trials		160.8262860774994	161.16334581375122	160.59117579460144	160.80629754066467	162.12119555473328	162.79412746429443	160.38653945922852	Right
164.8529407978058	3.343278169631958	trials		166.65272331237793	166.99236345291138	166.4633650779724	166.63805961608887	167.4716775417328	168.19621896743774	166.24562168121338	Left
